GDPPC_GROWTH,ABSLATIT,AIRDIST,AVELF,BRIT,BUDDHA,CATH00,CIV72,COLONY,CONFUC,DENS60,DENS65C,DENS65I,DPOP6090,EAST,ECORG,ENGFRAC,EUROPE,FERTLDC1,GDE1,GDPCH60L,GEEREC1,GGCFD3,GOVNOM1,GVR61,H60,HERF00,HINDU00,IPRICE1,LAAM,LANDAREA,LANDLOCK,LHCPC,LIFE060,LT100CR,MALFAL66,MINING,MUSLIM00,NEWSTATE,OIL,OPENDEC1,ORTH00,OTHFRAC,P60,PI6090,SQPI6090,PRIGHTS,POP1560,POP60,POP6560,PRIEXP70,PROT00,RERD,REVCOUP,SAFRICA,SCOUT,SIZE60,SOCIALIST,SPAIN,TOT1DEC1,TOTIND,TROPICAR,TROPPOP,WARTIME,WARTORN,YRSOPEN,ZTROPICS
-3.18,0.569,6420,0.872253,0,0,0.008,0.1667,1,0,148.0764,30.75152,7.652775,0.027784,0,3,0,0,1.796913,0.024,6.192362,0.027,0.04,0.12,0.153,0,0.960536,0,429.52,0,2267050,0,0.940118,42.1,0.01,1,0.05,0.006,2,0,0.285,0,0,0.6,35.7116,1275.318366,6.56,0.4403,15310,0.029458,0.932,0.006,201,0.27,1,1,15.828624,0,0,-0.020479,0.206897,1,0.9892,0.04,1,0,0.20609
-2.52,4.331,5450,0.785556,0,0,0,0,1,0,406.1147,0,2.6919,0.022555,0,3,0,0,1.580215,0.009,6.556778,0.0231,0.06,0.21,0.3259,0,0.992032,0,103.8,0,622980,1,-4.60517,39.3,0,1,0.03,0.004,2,0,0.67,0,0,0.32,6.340489,40.201804,6.83,0.3864,1534,0.041721,0.557,0,156,0.39,1,0,13.892412,0,0,-0.002062,0.241379,1,1,0,0,0,0.443271
-1.88,12.942,7820,0.829398,1,0,0.001,0.3333,1,0,236.673,0,4.861513,0.033396,0,1,0,0,1.901062,0.015,6.872128,0.0159,0.24,0.22,0.1841,0,0.996006,0,48.33,0,743390,1,-4.60517,41.8,0,1,0.2,0,2,0,0.89,0,0,0.42,17.399725,302.750438,5.11,0.4518,3141,0.023559,0.998,0.001,206,0.05,1,1,14.924425,0,0,-0.031845,0.262069,1,1,0,0,0.04,0.0249
-1.79,13.876,4460,0.732914,0,0,0,0.1667,1,0,418.3289,0,2.889398,0.031613,0,5,0,0,1.925124,0.01,6.276643,0.0049,0.03,0.1,0.2591,0,0.504802,0,93.3,0,1266700,1,-4.60517,35.4,0,0.76,0.08,0.451,2,0,0.2865,0,0.035,0.05,5.107619,26.087767,6.89,0.4147,3028,0.023448,0.963,0,204,0.16,1,1,14.292301,0,0,-0.011778,0.206897,0.9998,1,0,0,0,0.37614
-1.61,18.958,8940,0.062749,0,0,0.18,0.6667,1,0,109.5385,8.653484,12.95668,0.026986,0,1,0,0,1.885705,0.013,7.082549,0.0206,0.03,0.2,0.1054,0,0.440978,0,207.93,0,581540,0,-0.561256,41,0.57,1,0.08,0.005,2,0,0.372,0,0,0.52,9.234407,85.274267,5.22,0.411,5309,0.028066,0.928,0.212,120,0.1,1,0,15.659707,0,0,-0.011248,0.206897,0.8768,0.48897,0,0,0,0.124251
-1.01,6.385,5260,0.803055,0,0,0,0.1667,0,0,92.7045,14.02777,10.4754,0.030287,0,5,0.03,0,1.862684,0.009,6.575076,0.0144,0.03,0.16,0.1836,0,0.843552,0,100.6,0,96320,0,-4.60517,41.5,0.68,1,0.1,0.02,0,0,0.972,0,0,0.31,4.19,17.5561,5.72,0.4225,1039,0.036574,0.973,0.064,169,0.23,1,1,13.52109,0,0,-0.034967,0.137931,1,0.4435,0.04,1,0.01,0.434209
-0.87,18.932,2500,0.064405,0,0,0.952,0.1667,1,0,7.2393,150.3266,0,0.017617,0,3,0,0,1.780193,0.025,6.828712,0.0153,0,0.09,0.1177,0,0.908608,0,100.91,1,27560,0,-4.60517,42.4,1,1,0,0,0,0,0.291,0,0.075,0.46,6.447132,41.565513,6.5,0.4093,3807,0.050433,0.744,0.048,114,0.16,0,0,15.073309,0,0,-0.0288,0.158621,1,0,0.2,1,0,0.206555
-0.67,14.772,4757,0.778868,0,0,0.018,0.1667,1,0,60.411,47.15005,9.656407,0.027802,0,4,0,0,1.867022,0.011,6.953684,0.0187,0.02,0.21,0.2543,0,0.569848,0,100.48,0,192530,0,-4.60517,39.6,0.59,1,0,0.7,2,0,0.593,0,0.001,0.27,5.909435,34.921416,4.33,0.4266,3187,0.030122,0.811,0,146,0.04,1,0,15.02052,0,0,0.03502,0.234483,1,0.4321,0,0,0,0.848604
-0.41,6.694,5190,0.706071,1,0,0.004,0.1667,1,0,33.5902,77.20781,24.16616,0.027276,0,3,0,0,1.902853,0.018,6.795706,0.026,0.02,0.13,0.065,0,0.821496,0,158.22,0,227540,0,1.633371,45.2,0.19,1,0.02,0.05,2,0,0.3845,0,0,0.38,25.81073,666.193797,5.89,0.4459,6774,0.025391,0.994,0.042,248,0.55,1,0,15.616553,0,0,0.029546,0.310345,1,0.5747,0,0,0.22,0.924044
-0.31,13.257,4660,0.78037,1,0,0.021,0.8333,1,0,28.4091,63.06274,25.30601,0.030004,0,5,0,0,1.871802,0,6.400257,0.0211,0.01,0.22,0.1759,0,0.678592,0.001,162.64,0,10000,0,-4.60517,32.3,1,1,0,0.81,2,0,0.685,0,0,0.12,9.081665,82.476638,2.44,0.3945,352,0.03125,1,0.021,150,0.05,1,0,12.263889,0,0,-0.006318,0,1,0.3605,0,0,0.22,0.647871
-0.21,6.543,4770,0.856709,1,0,0.002,0.5,1,0,21.5287,132.9795,44.82621,0.031227,0,4,0,0,1.931231,0.006,6.340359,0.0136,0.02,0.06,0.1094,0,0.60151,0,121.57,0,910770,0,5.209552,39.7,0.13,1,0.21,0.259,2,1,0.2505,0,0.002,0.36,12.529508,156.988559,4.89,0.4543,42305,0.023071,0.988,0.008,277,0.52,1,1,16.99302,0,0,0.123214,0.193103,1,0.7552,0.12,1,0,0.789976
-0.14,6.194,5120,0.728487,0,0,0.005,0.3333,1,0,35.9247,74.31586,20.96762,0.027993,0,1,0,0,1.871802,0.008,5.905362,0.0193,0.07,0.29,0.2297,0,0.907938,0,86.5,0,54390,0,-4.60517,39.5,0.16,1,0.09,0.04,2,0,0.7905,0,0,0.44,4.595248,21.116304,6.67,0.4253,1514,0.035667,0.944,0.003,141,0.16,1,1,13.227872,0,0,0.069315,0.131034,1,0.5758,0,0,0,0.948539
0.09,2.032,6460,0.060862,0,0,0,0.1667,1,0,8.9971,0,129.0231,0.032234,0,1,0,0,2.051813,0.026,6.285998,0.0256,0,0.11,0.1484,0,0.996008,0,172.36,0,24670,1,3.520922,46.5,0,1,0,0.002,2,0,0.285,0,0,0.49,8.726076,76.144404,6.33,0.4451,2742,0.023705,0.992,0,165,0.14,1,0,14.202441,0,0,-0.030319,0.172414,1,1,0,0,0,0
0.11,6.364,5040,0.683119,0,0,0.01,0.3333,1,0,49.4502,99.27784,12.51306,0.023965,0,0,0,0,1.921471,0.018,7.003065,0.0248,0.02,0.11,0.2372,0,0.847728,0,150.44,0,110620,0,1.053939,38.9,0.11,1,0.01,0.07,2,0,0.4405,0,0,0.27,4.398092,19.34321,7,0.4074,2237,0.072865,0.896,0.002,126,0.1,1,0,14.715956,1,0,-0.02442,0.124138,1,0.5141,0,0,0.11,0.979711
0.24,10.73,5470,0.852045,0,0,0.001,0.5,1,0,87.8611,19.58585,11.87936,0.026343,0,5,0,0,1.740466,0.024,6.463029,0.0221,0.04,0.16,0.1439,0,0.899314,0,139.59,0,465400,0,3.888269,43.4,0.13,1,0.09,0.05,2,0,0.4345,0,0.007,0.65,6.888901,47.456951,6.06,0.4052,5297,0.034737,0.915,0.002,187,0.08,1,1,15.037925,0,0,0.013976,0.324138,1,0.8641,0,0,0.16,0.240944
0.29,9.843,3530,0.0525,0,0,0.929,0.8333,1,0,117.5753,29.15127,4.215568,0.032619,0,3,0,0,1.692492,0.019,8.754319,0.018,0.04,0.08,0.043,0.04,0.867942,0,98.62,1,882050,0,7.863266,59.8,0.56,0.09504,0.11,0,0,1,0.423,0,0.969,1,9.988427,99.768672,1.22,0.461,7502,0.024394,0.985,0.001,109,0.32,0,1,17.677243,0,1,0.111923,0.358621,1,0.455,0,0,0.31,0.494292
0.3,9.007,5740,0.677082,0,0,0.368,0.1667,0,0,41.3377,18.25667,25.69841,0.022772,0,0,0,0,1.759925,0.022,5.549076,0.0095,0.01,0.1,0.1325,0,0.340666,0,137.92,0,1.00E+06,1,0.446964,42.2,0.02,0.85,0,0.26,0,0,0.2465,0.363,0.002,0.07,5.807738,33.729821,6.67,0.4451,24191,0.025423,0.983,0,98,0.72,1,0,15.642812,1,0,-0.038946,0.103448,1,0.9492,1,1,0,0.262954
0.35,15.19,6500,0.599412,0,0,0.936,0.5,1,0,316.3302,0,3.456353,0.025138,0,3,0,0,1.876101,0.016,7.045777,0.0158,0.05,0.1,0.1212,0.04,0.880192,0,38.01,1,1084380,1,4.301883,42.8,0.02,0.01089,0.08,0,0,0,0.5395,0,0.372,0.64,46.577146,2169.430567,4.11,0.4281,3428,0.031797,0.969,0,181,1.19,0,0,15.185509,0,1,0.015763,0.296552,1,1,0,0,0.73,0.204045
0.38,2.154,7340,0.890247,1,0,0.018,0.1667,1,0,88.1299,25.41653,12.16442,0.033545,0,0,0,0,1.86501,0.019,5.765191,0.0265,0.08,0.13,0.2195,0,0.824286,0.001,107.24,0,883590,0,2.705357,40.6,0.09,0.98,0,0.07,2,0,0.5535,0,0,0.25,13.495831,182.137465,6,0.4589,10026,0.028626,0.872,0.006,216,0.05,1,0,14.978128,0,0,0,0.262069,1,0.8399,0.08,1,0,0.072123
0.46,3.365,6600,0.013333,0,0,0,0,1,0,8.711,0,125.1168,0.020279,0,4,0,0,1.857235,0.014,6.461468,0.0183,0.03,0.04,0.01,0,0.996008,0,114.67,0,25680,1,-4.60517,41.8,0,1,0.01,0.002,2,0,0.2215,0,0,0.18,7.299186,53.278122,6.83,0.4047,2948,0.03019,0.977,0,167,0.39,1,0,14.45035,0,0,-0.0692,0.158621,1,1,0.04,1,0,0
0.54,17.925,4180,0.27,0,0,0,0.1667,1,0,1034.5308,2.801948,0.964583,0.023586,0,3,0,0,1.871802,0.026,6.659294,0.0176,0.03,0.29,0.2094,0,0.955058,0,100.39,0,1025220,0,-4.60517,35.3,0.07,0,0.07,0.977,2,0,0.81,0,0.866,0.08,7.346667,53.973512,6.33,0.4357,991,0.028254,0.992,0,198,0.2,1,1,13.558008,0,0,-0.038396,0.255172,0.8225,0.69656,0.44,1,0,0.189173
0.73,14.194,3220,0.097359,0,0,0.97,0.6667,1,0,57.8243,21.19768,17.77783,0.033245,0,3,0,0,1.994564,0.017,6.946014,0.0211,0.03,0.14,0.1109,0.01,0.9418,0,72.95,1,111890,0,-4.60517,46.8,0.67,0.00324,0.01,0,0,0,0.615,0,0.843,0.67,5.795409,33.586763,4.06,0.4559,1935,0.022739,0.919,0,156,0.32,0,1,14.513877,0,1,-0.028768,0.137931,1,0.3687,0.08,1,0.36,0.131982
0.81,13.775,3350,0.051429,0,0,0.98,0.6667,1,0,8.0623,145.0772,0,0.022344,0,3,0,0,1.848455,0.012,7.26333,0.0224,0.01,0.12,0.1346,0.01,0.9608,0,87.74,1,20720,0,-4.60517,50.8,1,0.00194,0,0,0,0,0.567,0,0.923,0.8,9.402942,88.415313,3.28,0.451,2570,0.025681,0.713,0,132,0.56,0,0,15.114991,0,1,-0.010536,0.041379,1,0.012,0.36,1,0.4,0.04724
0.84,6.6,4500,0.802727,0,0,0.022,0.8333,1,0,235.8646,4.690946,4.864055,0.023445,1,5,0.01,0,1.803688,0.014,7.118826,0.0233,0.1,0.34,0.3917,0,0.922408,0,52.5,0,452860,0,5.998264,41,0.69,0.95,0.19,0,2,0,0.691,0,0,0.32,5.193409,26.971494,2.31,0.4045,1920,0.029167,0.971,0.018,105,0,0,1,14.678907,0,0,-0.0478,0.131034,1,0.3581,0,0,0,0.345368
0.95,15.811,7870,0.622437,1,0,0.001,0.1667,1,0,26.6591,0,42.25127,0.030129,0,5,0,0,2.046531,0.005,5.940171,0.0118,0.04,0.21,0.1872,0,0.907494,0,74.5,0,94080,1,-4.60517,37.9,0,0.52,0.09,0.03,2,0,0.614,0,0,0.67,9.215203,84.919966,6.39,0.4562,3529,0.02607,0.963,0.017,116,0,1,1,14.108941,0,0,0.004256,0.158621,1,1,0,0,0,0.054808
0.97,17.876,8190,0.598636,1,0,0.012,0.3333,1,0,101.4822,0,11.54453,0.030956,0,3,0.07,0,2.044203,0.015,6.896694,0.0163,0.06,0.17,0.0687,0,0.922424,0,73.74,0,386850,1,-4.60517,45.5,0,1,0.06,0.002,2,0,0.632,0,0,0.96,7.432395,55.240489,4.83,0.4551,3812,0.028594,0.656,0.026,164,0.3,1,1,15.142604,1,0,-0.0434,0.034483,1,1,0.24,1,0,0.065867
0.99,11.794,5940,0.431591,0,0,0.946,0.3333,1,0,128.8893,28.76789,4.808678,0.026207,0,3,0,0,1.809272,0.027,7.610358,0.0245,0.04,0.12,0.0935,0.04,0.897726,0,61,1,1280000,0,3.923134,48,0.24,0.00255,0.02,0,0,0,0.3255,0,0.564,0.83,60.614831,3674.157752,3.78,0.4332,9931,0.034337,0.985,0.001,83,0.28,0,0,16.813774,0,1,0.002247,0.455172,1,0.5032,0.04,1,0.49,0.459178
1.02,36.676,8570,0.176932,0,0,0.975,0.6667,1,0,132.7459,12.4985,7.530861,0.015255,0,5,0,0,1.133658,0.021,8.403352,0.0223,0.05,0.12,0.0847,0.11,0.950852,0,88.21,1,2736690,0,4.518682,65.2,0.2,0,0.02,0.001,0,0,0.1305,0.001,0.836,0.98,88.983916,7918.137394,3.94,0.3078,20616,0.055442,0.861,0.007,113,0.96,0,0,18.337175,0,1,-0.010536,0.455172,0.0268,0,0.36,1,0.09,0.002271
1.02,9.941,3575,0.053214,0,0,0.985,1,1,0,41.3107,29.02468,0,0.030175,0,3,0.02,0,1.623144,0.011,7.647786,0.035,0.03,0.14,0.155,0.05,0.970352,0,82.73,1,51060,0,-4.60517,61.9,1,0.00088,0.04,0,0,0,0.638,0,0.891,0.96,11.816387,139.626992,1,0.474,1236,0.032362,0.803,0.011,91,0,0,0,14.767422,0,1,-0.027087,0.324138,1,1.00E-04,0,0,0.42,0.259826
1.06,0.513,6650,0.826965,1,0,0.001,0.5,1,0,68.3077,13.07549,17.49389,0.035654,0,5,0,0,2.079442,0.003,6.490724,0.0361,0.04,0.16,0.1119,0,0.920864,0.005,55.74,0,569140,0,-4.60517,45,0.08,0.98,0,0.034,2,0,0.606,0,0,0.47,8.17303,66.798414,5.33,0.497,8332,0.041167,0.874,0.001,131,0.05,1,1,15.518582,0,0,-0.019574,0.317241,1,0.9352,0,0,0.04,0.40147
1.07,36.892,9280,0.14757,1,0,0.142,1,1,0,112.9806,10.12706,2.210206,0.011871,0,5,0.9,1,1.148988,0.019,8.982184,0.0256,0.07,0.14,0.0904,0.13,0.724194,0,68.53,0,267990,0,4.682646,71,0.96,0,0.01,0,0,0,0.4735,0,0,1,8.532895,72.810291,1,0.3288,2372,0.086425,0.89,0.839,101,0,0,0,16.753673,0,0,-0.042345,0.386207,0,0,0,0,0.2,0
1.1,36.72,1675,0.293724,0,0,0.119,0.1667,1,0,220.5315,74.74003,1.552617,0.028417,0,0,0,0,2.0031,0.03,7.451822,0.0297,0.23,0.15,0.1073,0,0.764248,0,97.96,0,2381740,0,6.510655,47.3,0.05,0.09,0.2,0.866,2,1,0.4695,0,0.836,0.46,6.451053,41.616084,5.83,0.4373,10800,0.038519,0.933,0.003,190,0.12,0,1,16.739124,1,0,0.100145,0.358621,0.1618,0.12865,0,1,0,0
1.13,18.055,2560,0.0125,1,0,0.02,0.8333,1,0,6.6483,162.5115,0,0.014329,0,5,0.94,0,1.664116,0.004,7.480428,0.0201,0.09,0.1,0.0409,0.02,0.830924,0.003,85.12,1,10830,0,-4.60517,63,1,0,0.09,0.003,2,0,0.757,0,0,0.92,11.507174,132.415048,1.72,0.4171,1629,0.042971,0.471,0.909,139,0,0,0,14.87615,0,0,0.024116,0.172414,1,0,0.04,1,0.42,0
1.22,34.822,8560,0.066667,0,0,0.612,0.5,1,0,68.8771,35.73729,6.170832,0.006722,0,3,0,0,1.0654,0.014,8.286017,0.0241,0.02,0.15,0.0549,0.08,0.513184,0,125.23,1,174810,0,-4.60517,67.3,0.49,0,0,0,0,0,0.2765,0,1,1,44.133683,1947.781979,4.22,0.2785,2538,0.081166,0.796,0.016,92,0,0,0,16.125149,0,1,-0.034033,0.668966,0,0,0,0,0.11,0
1.23,14.622,3300,0.476667,0,0,0.994,0.6667,1,0,27.3537,72.5593,19.59408,0.027946,0,3,0,0,1.878243,0.009,7.414573,0.0156,0.02,0.09,0.0634,0.02,0.988072,0,74.07,1,108430,0,3.274858,45.9,0.42,0.0204,0,0,0,0,0.3795,0,0.588,0.45,7.808747,60.976528,4,0.46,3964,0.026488,0.72,0,109,0.51,0,0,15.699582,0,1,-0.021441,0.434483,1,0.3144,0.08,1,0.42,0.12275
1.23,29.13,8930,0.830982,1,0,0.014,0.3333,1,0,70.1908,30.37214,12.78999,0.023544,0,3,0.09,0,1.742219,0.017,7.692113,0.0266,0.11,0.12,0.1164,0.03,0.482688,0.01,85.17,0,1221040,0,1.104249,49.2,0.2,0,0.11,0.006,0,0,0.51,0,0,0.89,9.725765,94.590503,4.78,0.4009,17396,0.03863,0.528,0.388,72,0.04,1,1,17.456109,0,0,-0.01772,0.082759,0.0378,0,0.44,1,0.09,0.002942
1.3,13.922,3010,0.723821,0,0.02,0.73,0.1667,1,0,10.8185,107.5375,26.15232,0.027496,1,3,0,0,1.854265,0.013,7.032624,0.0233,0.02,0.11,0.1047,0.13,0.587954,0,89.45,0,298170,0,2.000767,53.1,1,0.48743,0.02,0.035,2,0,0.3945,0,0.012,0.95,10.779098,116.188952,4.28,0.4696,27561,0.030442,0.924,0,92,0.44,0,0,17.256781,0,0,-0.026826,0.158621,1,7.00E-04,0.36,1,0.16,0.325541
1.37,0.228,6220,0.835791,1,0,0.038,0,1,0,30.4252,0,40.30553,0.034838,0,3,0,0,1.932246,0.003,6.393591,0.019,0.01,0.12,0.17,0,0.834488,0,170.59,0,199650,1,-4.60517,43.2,0,0.86,0,0.02,2,0,0.202,0,0,0.49,35.266219,1243.706186,5.78,0.4669,6562,0.026364,0.996,0.03,155,0.43,1,1,15.182641,0,0,-0.004167,0.172414,1,1,0.28,1,0.16,0.14277
1.4,31.602,3390,0.029719,1,0,0.038,0.1667,1,0,52.4661,21.18003,11.40062,0.028379,0,5,0,0,2.054241,0.166,7.057898,0.0329,0.08,0.41,0.0121,0.01,0.88917,0,96.95,0,88930,0,3.25743,47.2,0.15,0,0.04,0.942,2,0,0.5545,0.024,1,0.77,6.435388,41.414212,5.72,0.4441,1695,0.040708,0.838,0.019,116,0.2,0,0,14.493336,0,0,0.024784,0.117241,0,0,0.08,1,0.67,0
1.51,3.684,6330,0.669275,0,0,0.025,0,1,0,345.6478,12.39925,2.793233,0.027473,0,1,0,0,1.771897,0.025,7.023759,0.0311,0.04,0.18,0.2669,0,0.95125,0,143,0,341500,0,5.679245,47.3,0.05,1,0.17,0,2,0,0.883,0,0,0.78,5.344503,28.563714,6.56,0.4082,988,0.034413,0.71,0,191,0.36,1,1,13.919442,1,0,0.016127,0.117241,1,0.862,0,0,0,0.027556
1.54,2.062,4580,0.325357,0,0,0.877,0.6667,1,0,62.7328,30.30622,11.7418,0.029481,0,3,0,0,1.84814,0.021,7.286876,0.0155,0.08,0.11,0.1325,0.03,0.784258,0,26.54,1,276840,0,4.906961,53.4,0.38,0.2135,0.1,0,0,0,0.4015,0,0.714,0.83,15.709708,246.794912,3.72,0.4482,4413,0.040109,0.983,0,113,0.56,0,1,15.679186,0,1,0.030228,0.386207,1,0.4694,0,0,0.84,0.389073
1.58,27.712,5160,0.45,0,0.05,0,0.3333,0,0,14.547,0,75.83333,0.023891,0,5,0,0,1.844984,0.005,6.44254,0.0048,0.03,0.03,0.2552,0.01,0.6334,0.77,78.35,0,136800,1,-4.60517,38.5,0,0.04617,0,0.01,0,0,0.1495,0,0,0.1,8.397478,70.517645,4.33,0.3845,9404,0.039239,0.649,0,73,0.08,0,0,15.591431,0,0,-0.0086,0.027586,0,0,0,0,0.09,0.054956
1.76,16.759,3360,0.174074,0,0,0.988,0.6667,1,0,51.8819,17.43064,24.48998,0.028529,0,3,0,0,1.86377,0.007,7.95015,0.0134,0.06,0.07,0.0436,0.03,0.976218,0,55.77,1,1972550,0,5.96945,57.3,0.37,0.00013,0.03,0,0,0,0.1605,0,0.88,0.8,22.686236,514.665306,3.67,0.4562,38020,0.033009,0.675,0.003,71,0,0,0,18.496018,0,1,0,0.510345,0.4659,0.36775,0,0,0.2,0.112466
